,ID,Path,Asset,Name,Description,Type,Value Unit Of Measure,Datasource Name,Archived,Source Value Unit Of Measure,Datasource ID,Template,Maximum Interpolation,Sync Token,Enabled,Key Unit Of Measure,Cache ID,Datasource Class,Cache Enabled,Data ID,Interpolation Method,Formula,Unsearchable,Formula Parameters
0,46871013-C83E-4D1A-8441-BCF48BDB832A,Sample Assets,Crude Furnace,Coil Inlet Temperature,,CalculatedSignal,°F,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,7560.0,2023-05-10T21:53:03.269723,True,ns,2E60FA32-49B1-411B-9495-30AFA8E77D5C,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Crude Furnace >> Coil Inlet Temperature,Linear,$signal,False,['signal=7B87F723-B704-4040-886F-7DED1E7C8591']
0,D0ED1A0E-84B4-45BC-BF77-624AAF1AC673,Sample Assets,Crude Furnace,Crude Furnace,,Asset,,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,,2023-05-10T21:53:03.269723,True,,,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Asset} Sample Assets >> Crude Furnace,,,False,
