Name,Description,Type,Value Unit Of Measure,Maximum Interpolation
CVB501_Tension (513D7D97-F53B-4B6C-BFD5-A8F975BE52D4),,StoredSignal,N/m,1h
CVB502_Tension (F2A74CC0-32BA-4B0A-AB65-690C77501B15),,StoredSignal,N/m,60.0s
CVB503_Tension (444C459A-A56D-4856-8853-6221E74B3915),,StoredSignal,N/m,60.0s
CVB504_Tension (0600B137-A071-4323-954D-7FAB4A9D6385),,StoredSignal,N/m,60.0s
CVB505_Tension (E1EA3B2A-BACD-4709-A2DF-36A2EE71F8B7),,StoredSignal,N/m,60.0s
CVB506_Tension (1244A3F0-18B7-40B3-A220-DDE0DEFAD36A),,StoredSignal,N/m,60.0s
CVB507_Tension (B6986F87-72BF-4EBD-807F-B8B3E242CCA0),,StoredSignal,N/m,60.0s
