Name,Description,Type,Value Unit Of Measure,Maximum Interpolation
Vibration Bearing 1 (E78BD39E-693F-46D8-803B-365EE389FF61),column = Vibration_Bearing_1; last file imported = bearng_modified_v1.csv,StoredSignal,,1h
Vibration Bearing 2 (728286D1-3D6D-46A0-A06A-A037BBDF716A),column = Vibration_Bearing_2; last file imported = bearng_modified_v1.csv,StoredSignal,,1h
Vibration Bearing 3 (3C6945EF-5D12-4FB5-AAFA-716CF6008F77),column = Vibration_Bearing_3; last file imported = bearng_modified_v1.csv,StoredSignal,,1h
Vibration Bearing 4 (BA3B27AA-B37F-428A-8FB6-BE8612BAF85E),column = Vibration_Bearing_4; last file imported = bearng_modified_v1.csv,StoredSignal,,1h
